,core_code,core,unit,depth,order,type,density (g/cm3),P (mg/kg),P Density (kg/m3)
359,01300,1,3.0,0.0,6,erosion,1.1070934842657574,476.1431411530815,0.5271349691484073
360,01300,1,3.0,0.0,6,erosion,1.1070934842657574,501.96463654223976,0.5557217784477427
361,01300,1,3.0,0.0,6,erosion,1.1070934842657574,496.00798403193613,0.5491272072655503
362,13100,13,1.0,0.0,1,erosion,1.2337639712241157,344.6601941747573,0.42522932988792345
363,13100,13,1.0,0.0,1,erosion,1.2337639712241157,357.421875,0.44097423190236945
364,13100,13,1.0,0.0,1,erosion,1.2337639712241157,353.3980582524272,0.43600979177240595
365,13105,13,1.0,0.5,1,erosion,0.9773835627954277,392.99610894941634,0.3841079371297206
366,13105,13,1.0,0.5,1,erosion,0.9773835627954277,398.82121807465614,0.38980130304021965
367,13105,13,1.0,0.5,1,erosion,0.9773835627954277,405.4054054054054,0.3962365795116599
368,13200,13,2.0,0.0,1,erosion,0.9892948602072059,506.9169960474308,0.5014903787413998
369,13200,13,2.0,0.0,1,erosion,0.9892948602072059,479.4921875,0.47435915660325984
370,13200,13,2.0,0.0,1,erosion,0.9892948602072059,476.4243614931237,0.47132417210264715
371,13205,13,2.0,0.5,1,erosion,1.2457574155145958,334.6456692913386,0.4168873240895301
372,13205,13,2.0,0.5,1,erosion,1.2457574155145958,332.3353293413174,0.41400920096443156
373,13205,13,2.0,0.5,1,erosion,1.2457574155145958,352.1400778210117,0.4386811132454122
374,13208,13,2.0,0.8,1,erosion,1.307942602691948,201.59680638722554,0.2636770516404925
375,13208,13,2.0,0.8,1,erosion,1.307942602691948,212.5984251968504,0.27806653758017796
376,13208,13,2.0,0.8,1,erosion,1.307942602691948,200.7952286282306,0.2626286339401327
377,13300,13,3.0,0.0,1,erosion,1.292909723889497,399.009900990099,0.5158837809182845
378,13300,13,3.0,0.0,1,erosion,1.292909723889497,431.1377245508982,0.557422156407448
379,13300,13,3.0,0.0,1,erosion,1.292909723889497,398.4375,0.5151437181122215
380,13310,13,3.0,1.0,1,erosion,1.2442787716979615,623.991935483871,0.7764199190333047
381,13310,13,3.0,1.0,1,erosion,1.2442787716979615,588.2352941176471,0.731928689234095
382,13310,13,3.0,1.0,1,erosion,1.2442787716979615,607.6923076923076,0.7561386381856843
383,13315,13,3.0,1.5,1,erosion,1.3820390872810786,174.08123791102514,0.24058707515531347
384,13315,13,3.0,1.5,1,erosion,1.3820390872810786,162.16216216216216,0.22411444658612087
